,cost,reduced_scenario,probability
476,11742159.978635712,161.0,0.0
477,11315034.312718114,72.0,0.0
478,11451987.476587627,132.0,0.0
479,11468534.373344302,35.0,0.0
480,11543237.811100762,3.0,0.0
481,11397738.807932025,185.0,0.0
482,11430485.08067338,217.0,0.0
483,11322692.274775371,72.0,0.0
484,11513117.0663622,421.0,0.0
485,11660390.63571745,277.0,0.0
486,11553630.922313806,3.0,0.0
487,11445335.177810078,132.0,0.0
488,11526257.764055425,421.0,0.0
489,11612191.262367273,237.0,0.0
490,11418951.612596562,217.0,0.0
491,11322713.261964487,72.0,0.0
492,11477654.979290701,35.0,0.0
493,11521348.419058586,421.0,0.0
494,11483556.777097527,35.0,0.0
495,11507022.501793899,278.0,0.0
496,11392358.869913317,185.0,0.0
497,11586483.640614023,174.0,0.0
498,11597067.342746533,174.0,0.0
499,11382176.338656023,331.0,0.0
